url,# links to url,out links
https://www.cpp.edu/index.shtml,10,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml#main', 'https://www.cpp.edu/prospective-student-gateway/index.shtml', 'https://www.cpp.edu/student-gateway/index.shtml', 'https://www.cpp.edu/faculty-staff-gateway/index.shtml', 'https://www.cpp.edu/family/index.shtml', 'https://www.cpp.edu/alumni/', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/rosefloatlab/index.shtml', 'https://www.cpp.edu/cppmag/paving-the-way.shtml', 'https://www.cpp.edu/index.shtml#CPPCarousel', 'https://www.cpp.edu/president/from-the-president/2021-spring/a-transformative-gift-for-a-transformative-university.shtml', 'https://www.cpp.edu/lanterman/', 'https://www.cpp.edu/safer-return/news-and-updates/virtual-town-hall.shtml', 'https://www.cpp.edu/veterans/index.shtml', 'https://www.cpp.edu/cafe/', 'https://www.cpp.edu/student-affairs/covid19.shtml', 'https://www.cpp.edu/studentsuccess/virtual-advising-toolkit.shtml', 'https://www.cpp.edu/agri/', 'https://www.cpp.edu/cba/', 'https://www.cpp.edu/ceis/', 'https://www.cpp.edu/engineering/', 'https://www.cpp.edu/env/', 'https://www.cpp.edu/collins/', 'https://www.cpp.edu/class/', 'https://www.cpp.edu/sci', 'https://www.cpp.edu/giving/about-us.shtml', 'https://www.cpp.edu/philanthropy/', 'https://www.cpp.edu/annual-security-report.shtml', 'https://www.cpp.edu/campus-safety-plan.shtml', 'https://www.cpp.edu/em/', 'https://www.cpp.edu/officeofequity/titleIX/index.shtml', 'https://www.cpp.edu/academic-manual', 'https://www.cpp.edu/library/index.shtml', 'https://www.cpp.edu/events/', 'https://www.cpp.edu/alpha-index/index.shtml', 'https://www.cpp.edu/stratcomm/for-the-media.shtml', 'https://www.cpp.edu/broncodreamers/index.shtml', 'https://www.cpp.edu/admissions/', 'https://www.cpp.edu/giving/index.shtml', 'https://www.cpp.edu/jobs/index.shtml', 'https://www.cpp.edu/contact.shtml', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/privacy.shtml,9,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/privacy.shtml#main', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/safer-return/news-and-updates/virtual-town-hall.shtml,1,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/safer-return/news-and-updates/virtual-town-hall.shtml#main', 'https://www.cpp.edu/safer-return/news-and-updates/virtual-town-hall.shtml#item-1', 'https://www.cpp.edu/safer-return/phases/employee-repopulation-plan.shtml', 'https://www.cpp.edu/safer-return/phases/index.shtml', 'https://www.cpp.edu/safer-return/news-and-updates/virtual-town-hall.shtml#item-2', 'https://www.cpp.edu/safer-return/reporting/index.shtml', 'https://www.cpp.edu/safer-return/reporting/reponse-plan.shtml', 'https://www.cpp.edu/safer-return/reporting/reporting-guide.shtml', 'https://www.cpp.edu/safer-return/reporting/quarantine-isolation.shtml', 'https://www.cpp.edu/safer-return/health-and-safety-protocols/index.shtml', 'https://www.cpp.edu/safer-return/news-and-updates/index.shtml', 'https://www.cpp.edu/safer-return/checklist/index.shtml', 'https://www.cpp.edu/safer-return/heerf/index.shtml', 'https://www.cpp.edu/safer-return/vaccine-archive.shtml', 'https://www.cpp.edu/safer-return/materials.shtml', 'https://www.cpp.edu/safer-return/business-and-office-hours.shtml', 'https://www.cpp.edu/safer-return/events.shtml', 'https://www.cpp.edu/safer-return/vaccine.shtml', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/cba/,2,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/cba/#main', 'https://www.cpp.edu/cba/index.shtml', 'https://www.cpp.edu/cba/about/index.shtml', 'https://www.cpp.edu/cba/', 'https://www.cpp.edu/cba/accounting/index.shtml', 'https://www.cpp.edu/cba/computer-information-systems/index.shtml', 'https://www.cpp.edu/cba/technology-and-operations-management/ebz-curriculum/index.shtml', 'https://www.cpp.edu/cba/finance-real-estate-and-law/index.shtml', 'https://www.cpp.edu/cba/international-business-marketing/index.shtml', 'https://www.cpp.edu/cba/management-and-human-resources/index.shtml', 'https://www.cpp.edu/cba/business-minors/index.shtml', 'https://www.cpp.edu/cba/graduate-business-programs/index.shtml', 'https://www.cpp.edu/cba/graduate-business-programs/programs/mba.shtml', 'https://www.cpp.edu/cba/graduate-business-programs/programs/msis.shtml', 'https://www.cpp.edu/cba/graduate-business-programs/programs/msa.shtml', 'https://www.cpp.edu/cba/student-success-center/index.shtml', 'https://www.cpp.edu/cba/fye/index.shtml', 'https://www.cpp.edu/cba/centers-and-labs/index.shtml', 'https://www.cpp.edu/cba/our-faculty/index.shtml', 'https://www.cpp.edu/cba/news-events/index.shtml', 'https://www.cpp.edu/cba/alumni-friends/index.shtml', 'https://www.cpp.edu/cba/college-giving/index.shtml', 'https://www.cpp.edu/cba/#CPPCarousel', 'https://www.cpp.edu/cba/news-events/news/articles/2021-sgv-forecast.shtml', 'https://www.cpp.edu/cba/news-events/news/articles/orlando-library-2020.shtml', 'https://www.cpp.edu/cba/news-events/', 'https://www.cpp.edu/cba/news-events/events/', 'https://www.cpp.edu/cba/academics/', 'https://www.cpp.edu/cba/graduate-business-programs/', 'https://www.cpp.edu/cba/alumni-friends/', 'https://www.cpp.edu/cba/student-success-center/', 'https://www.cpp.edu/cba/future-students/', 'https://www.cpp.edu/cba/current-students/', 'https://www.cpp.edu/cba/current-students/organizations.shtml', 'https://www.cpp.edu/cba/scholarships.shtml', 'https://www.cpp.edu/cba/about/learning-goals.shtml', 'https://www.cpp.edu/cba/about/signature-experiences.shtml', 'https://www.cpp.edu/cba/news-events/leadership-forum/', 'https://www.cpp.edu/cba/fye/', 'https://www.cpp.edu/cba/current-students/deans-list.shtml', 'https://www.cpp.edu/cba/accounting/', 'https://www.cpp.edu/cba/computer-information-systems/', 'https://www.cpp.edu/cba/technology-and-operations-management/ebz-curriculum/', 'https://www.cpp.edu/cba/finance-real-estate-and-law/', 'https://www.cpp.edu/cba/international-business-marketing/', 'https://www.cpp.edu/cba/management-and-human-resources/', 'https://www.cpp.edu/cba/technology-and-operations-management/', 'https://www.cpp.edu/ceu/degree-programs/business-analytics/', 'https://www.cpp.edu/cba/technology-and-operations-management/msdscm/home.shtml', 'https://www.cpp.edu/cba/graduate-business-programs/programs/covid19_index.shtml', 'https://www.cpp.edu/cba/graduate-business-programs/apply.shtml', 'https://www.cpp.edu/cba/graduate-business-programs/about/', 'https://www.cpp.edu/cba/graduate-business-programs/faqs.shtml', 'https://www.cpp.edu/alumni/chapters/business.shtml', 'https://www.cpp.edu/cba/student-spotlight/', 'https://www.cpp.edu/cba/current-students/executive-mentor-program.shtml', 'https://www.cpp.edu/cba/alumni-friends/distinguished-alumni.shtml', 'https://www.cpp.edu/cba/college-giving/', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/lanterman/,1,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/lanterman/#main', 'https://www.cpp.edu/lanterman/#CPPCarousel', 'https://www.cpp.edu/lanterman/index.shtml', 'https://www.cpp.edu/lanterman/news-releases.shtml', 'https://www.cpp.edu/lanterman/frequently-asked-questions.shtml', 'https://www.cpp.edu/lanterman/project-detail.shtml', 'https://www.cpp.edu/lanterman/timeline.shtml', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/student-affairs/covid19.shtml,2,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/student-affairs/covid19.shtml#main', 'https://www.cpp.edu/student-affairs/index.shtml', 'https://www.cpp.edu/student-affairs/covid19.shtml', 'https://www.cpp.edu/student-affairs/strategic-planning/dsacommittees.shtml', 'https://www.cpp.edu/student-affairs/strategic-planning/contact-us.shtml', 'https://www.cpp.edu/student-affairs/strategic-planning/give.shtml', 'https://www.cpp.edu/student-affairs/strategic-planning/leadership.shtml', 'https://www.cpp.edu/student-affairs/strategic-planning/aboutus.shtml', 'https://www.cpp.edu/student-affairs/strategic-planning/orgcharts.shtml', 'https://www.cpp.edu/student-affairs/topics/safety.shtml', 'https://www.cpp.edu/student-affairs/topics/career.shtml', 'https://www.cpp.edu/student-affairs/topics/diversity.shtml', 'https://www.cpp.edu/student-affairs/topics/health.shtml', 'https://www.cpp.edu/student-affairs/topics/support.shtml', 'https://www.cpp.edu/student-affairs/topics/involvement.shtml', 'https://www.cpp.edu/student-affairs/topics/policies.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/dsabudget.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/dsainformationtechnology.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/assessment-research-evaluation.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/hr.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/dsamarketing.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/development.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/vprequest.shtml', 'https://www.cpp.edu/student-affairs/sa-staff/awards.shtml', 'https://www.cpp.edu/student-affairs/referral-guide.shtml', 'https://www.cpp.edu/student-affairs', 'https://www.cpp.edu/deanofstudents', 'https://www.cpp.edu/safer-return/vaccine.shtml', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/veterans/index.shtml,2,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/veterans/index.shtml#main', 'https://www.cpp.edu/veterans/index.shtml', 'https://www.cpp.edu/veterans/news-and-events/index.shtml', 'https://www.cpp.edu/veterans/admissions/index.shtml', 'https://www.cpp.edu/veterans/admissions/requirements.shtml', 'https://www.cpp.edu/veterans/admissions/returning-to-cpp.shtml', 'https://www.cpp.edu/veterans/admissions/military-credit.shtml', 'https://www.cpp.edu/veterans/admissions/residency-fee.shtml', 'https://www.cpp.edu/veterans/admissions/accreditation.shtml', 'https://www.cpp.edu/veterans/enrollment/index.shtml', 'https://www.cpp.edu/veterans/enrollment/orientation.shtml', 'https://www.cpp.edu/veterans/enrollment/priority-registration.shtml', 'https://www.cpp.edu/veterans/enrollment/academic-support.shtml', 'https://www.cpp.edu/veterans/enrollment/interruptions.shtml', 'https://www.cpp.edu/veterans/money-matters/index.shtml', 'https://www.cpp.edu/student-accounting/understanding.shtml', 'https://www.cpp.edu/financial-aid/undergraduate/current/costs.shtml', 'https://www.cpp.edu/student-accounting/tuition-fees/index.shtml', 'https://www.cpp.edu/student-accounting/payment-options/bill.shtml', 'https://www.cpp.edu/veterans/money-matters/step1.shtml', 'https://www.cpp.edu/financial-aid/index.shtml', 'https://www.cpp.edu/career/', 'https://www.cpp.edu/veterans/support-services/index.shtml', 'https://www.cpp.edu/veterans/support-services/student-services-for-veterans.shtml', 'https://www.cpp.edu/campus-life/student-services/index.shtml', 'https://www.cpp.edu/veterans/faculty-staff/index.shtml', 'https://www.cpp.edu/veterans/faculty-staff/academic-related.shtml', 'https://www.cpp.edu/veterans/faculty-staff/veteran-liaisons.shtml', 'https://www.cpp.edu/veterans/faculty-staff/workshops.shtml', 'https://www.cpp.edu/veterans/faculty-staff/presentations.shtml', 'https://www.cpp.edu/veterans/faculty-staff/publications.shtml', 'https://www.cpp.edu/veterans/faculty-staff/veterans-success-committee.shtml', 'https://www.cpp.edu/veterans/neh/index.shtml', 'https://www.cpp.edu/veterans/neh/american-war-experience.shtml', 'https://www.cpp.edu/veterans/neh/wwi.shtml', 'https://www.cpp.edu/veterans/neh/wwii.shtml', 'https://www.cpp.edu/veterans/neh/cold-war.shtml', 'https://www.cpp.edu/veterans/neh/iraq-afghanistan-wars.shtml', 'https://www.cpp.edu/veterans/neh/future-of-war.shtml', 'https://www.cpp.edu/veterans/neh/here-and-there-performance.shtml', 'https://www.cpp.edu/veterans/about-us/index.shtml', 'https://www.cpp.edu/veterans/about-us/staff.shtml', 'https://www.cpp.edu/veterans/about-us/hours-location.shtml', 'https://www.cpp.edu/veterans/giving/index.shtml', 'https://www.cpp.edu/registrar/calendars/index.shtml', 'https://www.cpp.edu/advising/index.shtml', 'https://www.cpp.edu/maps/', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/studentsuccess/virtual-advising-toolkit.shtml,2,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/studentsuccess/virtual-advising-toolkit.shtml#main', 'https://www.cpp.edu/studentsuccess/index.shtml', 'https://www.cpp.edu/studentsuccess/virtual-advising-toolkit.shtml', 'https://www.cpp.edu/studentsuccess/advising/index.shtml', 'https://www.cpp.edu/studentsuccess/advising/first-year-checklist.shtml', 'https://www.cpp.edu/studentsuccess/cppconnect/index.shtml', 'https://www.cpp.edu/studentsuccess/advising/advising-month.shtml', 'https://www.cpp.edu/studentsuccess/calendar/index.shtml', 'https://www.cpp.edu/studentsuccess/academic-calendar/finals-week.shtml', 'https://www.cpp.edu/studentsuccess/academic-calendar/summer-finals-week.shtml', 'https://www.cpp.edu/studentsuccess/directories/index.shtml', 'https://www.cpp.edu/studentsuccess/directories/advising-directory.shtml', 'https://www.cpp.edu/studentsuccess/directories/departments-az.shtml', 'https://www.cpp.edu/studentsuccess/directories/tutoring.shtml', 'https://www.cpp.edu/studentsuccess/guides/registration-page.shtml', 'https://www.cpp.edu/studentsuccess/guides/change-of-major.shtml', 'https://www.cpp.edu/studentsuccess/guides/a-z.shtml', 'https://www.cpp.edu/studentsuccess/guides/ge.shtml', 'https://www.cpp.edu/studentsuccess/guides/dpr.shtml', 'https://www.cpp.edu/studentsuccess/guides/senior-success.shtml', 'https://www.cpp.edu/studentsuccess/guides/new-student-registration.shtml', 'https://www.cpp.edu/studentsuccess/guides/instruction-modes.shtml', 'https://www.cpp.edu/studentsuccess/self-services/index.shtml', 'https://www.cpp.edu/studentsuccess/oss/index.shtml', 'https://www.cpp.edu/studentsuccess/bronco-advising-center/index.shtml', 'https://www.cpp.edu/studentsuccess/bronco-advising-center/about-us.shtml', 'https://www.cpp.edu/studentsuccess/oss/graduation-pledge/index.shtml', 'https://www.cpp.edu/studentsuccess/bronco-advising-center/progress-reports.shtml', 'https://www.cpp.edu/studentsuccess/bronco-advising-center/undeclared-advising.shtml', 'https://www.cpp.edu/studentsuccess/bronco-advising-center/ssb-queue.shtml', 'https://www.cpp.edu/semester/index.shtml', 'https://www.cpp.edu/it/students/', 'https://www.cpp.edu/ssep/contact-us/index.shtml', 'https://www.cpp.edu/faculty-affairs/about-us/dept-chairs-deans-dir.shtml', 'https://www.cpp.edu/registrar/forms/forms.shtml', 'https://www.cpp.edu/financial-aid/', 'https://www.cpp.edu/studentsuccess/oss/forms.shtml', 'https://www.cpp.edu/it/client-services/software/software-students.shtml', 'https://www.cpp.edu/it/virtual-software-lab/', 'https://www.cpp.edu/library/access-services/tech-lending-program.shtml', 'https://www.cpp.edu/brand/downloads/zoom-backgrounds.shtml', 'https://www.cpp.edu/studentsuccess/cppconnect/', 'https://www.cpp.edu/ssep/eop/services/eop-tutorial.shtml', 'https://www.cpp.edu/studentsuccess/guides/registration/register.shtml', 'https://www.cpp.edu/drc/', 'https://www.cpp.edu/safety/safer-return/', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/cafe/,2,"['https://www.cpp.edu/privacy.shtml', 'https://www.cpp.edu/safer-return/index.shtml', 'https://www.cpp.edu/safer-return/reporting/workplace-exposure.shtml', 'https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/cafe/#main', 'https://www.cpp.edu/cafe/index.shtml', 'https://www.cpp.edu/cafe/', 'https://www.cpp.edu/cafe/programs-and-events/upcoming-programs.shtml', 'https://www.cpp.edu/cafe/programs-and-events/past-workshop-recordings.shtml', 'https://www.cpp.edu/cafe/about-us/who-we-are.shtml', 'https://www.cpp.edu/cafe/about-us/request-services.shtml', 'https://www.cpp.edu/cafe/about-us/studio-6.shtml', 'https://www.cpp.edu/faculty-affairs', 'https://www.cpp.edu/cafe/about-us/newsletter.shtml', 'https://www.cpp.edu/cafe/teaching-and-learning/index.shtml', 'https://www.cpp.edu/cafe/teaching-and-learning/learning-technologies.shtml', 'https://www.cpp.edu/cafe/teaching-and-learning/quickstart-tutorials.shtml', 'https://www.cpp.edu/cafe/new-faculty-resources/faculty-strengths.shtml', 'https://www.cpp.edu/cafe/cool', 'https://www.cpp.edu/cafe/faculty-recognition/chai.shtml', 'https://www.cpp.edu/cafe/teaching-and-learning', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/website-feedback.shtml', 'https://www.cpp.edu/accessibility.shtml', 'https://www.cpp.edu/file-viewers.shtml']"
https://www.cpp.edu/ceis/,1,"['https://www.cpp.edu/index.shtml', 'https://www.cpp.edu/ceis/#main-body', 'https://www.cpp.edu/library/index.shtml', 'https://www.cpp.edu/events/', 'https://www.cpp.edu/aboutcpp/index.shtml', 'https://www.cpp.edu/admissions/index.shtml#undergraduate', 'https://www.cpp.edu/admissions/index.shtml#graduate', 'https://www.cpp.edu/admissions/index.shtml#international', 'https://www.cpp.edu/extended-education/index.shtml', 'https://www.cpp.edu/veterans/admissions/index.shtml', 'https://www.cpp.edu/financial-aid/index.shtml', 'https://www.cpp.edu/student-accounting/index.shtml', 'https://www.cpp.edu/outreach/index.shtml', 'https://www.cpp.edu/ceis/index.shtml', 'https://www.cpp.edu/ceis/about/index.shtml', 'https://www.cpp.edu/ceis/departments.shtml', 'https://www.cpp.edu/ceis/alumni-and-friends/index.shtml', 'https://www.cpp.edu/ceis/news-events/index.shtml', 'https://www.cpp.edu/ceis/giving/index.shtml', 'https://www.cpp.edu/ceis/contact-us/index.shtml', 'https://www.cpp.edu/safety/coronavirus/index.shtml', 'https://www.cpp.edu/ceis/future-students/index.shtml', 'https://www.cpp.edu/ceis/credentials-graduates.shtml', 'https://www.cpp.edu/ceis/programs.shtml', 'https://www.cpp.edu/shoutout/index.shtml', 'https://www.cpp.edu/ceis/news/ceis-to-host-series-of-faculty-meet-and-greets.shtml', 'https://www.cpp.edu/ceis/news/ige-professors-debut-second-book-in-series-on-women-making-history.shtml', 'https://www.cpp.edu/file-viewers.shtml', 'https://www.cpp.edu/canvas/']"
